# y, x1, x2
0.0000 15.0000 25.0000
0.2000 14.9000 25.1000
0.4000 14.8000 25.2000
0.6000 14.7000 25.3000
0.8000 14.6000 25.4000
1.0000 14.5000 25.5000
1.2000 14.4000 25.6000
1.4000 14.3000 25.7000
1.6000 14.2000 25.8000
1.8000 14.1000 25.9000
2.0000 14.0000 26.0000
2.2000 13.9000 26.1000
2.4000 13.8000 26.2000
2.6000 13.7000 26.3000
2.8000 13.6000 26.4000
3.0000 13.5000 26.5000
3.2000 13.4000 26.6000
3.4000 13.3000 26.7000
3.6000 13.2000 26.8000
3.8000 13.1000 26.9000
4.0000 13.0000 27.0000
4.2000 12.9000 27.1000
4.4000 12.8000 27.2000
4.6000 12.7000 27.3000
4.8000 12.6000 27.4000
5.0000 12.5000 27.5000
5.2000 12.4000 27.6000
5.4000 12.3000 27.7000
5.6000 12.2000 27.8000
5.8000 12.1000 27.9000
6.0000 12.0000 28.0000
6.2000 11.9000 28.1000
6.4000 11.8000 28.2000
6.6000 11.7000 28.3000
6.8000 11.6000 28.4000
7.0000 11.5000 28.5000
7.2000 11.4000 28.6000
7.4000 11.3000 28.7000
7.6000 11.2000 28.8000
7.8000 11.1000 28.9000
8.0000 11.0000 29.0000
8.2000 10.9000 29.1000
8.4000 10.8000 29.2000
8.6000 10.7000 29.3000
8.8000 10.6000 29.4000
9.0000 10.5000 29.5000
9.2000 10.4000 29.6000
9.4000 10.3000 29.7000
9.6000 10.2000 29.8000
9.8000 10.1000 29.9000
10.0000 10.0000 30.0000
10.2000 0.0000 40.0000
10.4000 0.0000 40.0000
10.6000 0.0000 40.0000
10.8000 0.0000 40.0000
11.0000 0.0000 40.0000
11.2000 0.0000 40.0000
11.4000 0.0000 40.0000
11.6000 0.0000 40.0000
11.8000 0.0000 40.0000
12.0000 0.0000 40.0000
12.2000 0.0000 40.0000
12.4000 0.0000 40.0000
12.6000 0.0000 40.0000
12.8000 0.0000 40.0000
13.0000 0.0000 40.0000
13.2000 0.0000 40.0000
13.4000 0.0000 40.0000
13.6000 0.0000 40.0000
13.8000 0.0000 40.0000
14.0000 0.0000 40.0000
14.2000 0.0000 40.0000
14.4000 0.0000 40.0000
14.6000 0.0000 40.0000
14.8000 0.0000 40.0000
15.0000 0.0000 40.0000
15.2000 0.0000 40.0000
15.4000 0.0000 40.0000
15.6000 0.0000 40.0000
15.8000 0.0000 40.0000
16.0000 0.0000 40.0000
16.2000 0.0000 40.0000
16.4000 0.0000 40.0000
16.6000 0.0000 40.0000
16.8000 0.0000 40.0000
17.0000 0.0000 40.0000
17.2000 0.0000 40.0000
17.4000 0.0000 40.0000
17.6000 0.0000 40.0000
17.8000 0.0000 40.0000
18.0000 0.0000 40.0000
18.2000 0.0000 40.0000
18.4000 0.0000 40.0000
18.6000 0.0000 40.0000
18.8000 0.0000 40.0000
19.0000 0.0000 40.0000
19.2000 0.0000 40.0000
19.4000 0.0000 40.0000
19.6000 0.0000 40.0000
19.8000 0.0000 40.0000
20.0000 0.0000 40.0000
20.2000 0.0000 40.0000
20.4000 0.0000 40.0000
20.6000 0.0000 40.0000
20.8000 0.0000 40.0000
21.0000 0.0000 40.0000
21.2000 0.0000 40.0000
21.4000 0.0000 40.0000
21.6000 0.0000 40.0000
21.8000 0.0000 40.0000
22.0000 0.0000 40.0000
22.2000 0.0000 40.0000
22.4000 0.0000 40.0000
22.6000 0.0000 40.0000
22.8000 0.0000 40.0000
23.0000 0.0000 40.0000
23.2000 0.0000 40.0000
23.4000 0.0000 40.0000
23.6000 0.0000 40.0000
23.8000 0.0000 40.0000
24.0000 0.0000 40.0000
24.2000 0.0000 40.0000
24.4000 0.0000 40.0000
24.6000 0.0000 40.0000
24.8000 0.0000 40.0000
25.0000 0.0000 40.0000
25.2000 0.0000 40.0000
25.4000 0.0000 40.0000
25.6000 0.0000 40.0000
25.8000 0.0000 40.0000
26.0000 0.0000 40.0000
26.2000 0.0000 40.0000
26.4000 0.0000 40.0000
26.6000 0.0000 40.0000
26.8000 0.0000 40.0000
27.0000 0.0000 40.0000
27.2000 0.0000 40.0000
27.4000 0.0000 40.0000
27.6000 0.0000 40.0000
27.8000 0.0000 40.0000
28.0000 0.0000 40.0000
28.2000 0.0000 40.0000
28.4000 0.0000 40.0000
28.6000 0.0000 40.0000
28.8000 0.0000 40.0000
29.0000 0.0000 40.0000
29.2000 0.0000 40.0000
29.4000 0.0000 40.0000
29.6000 0.0000 40.0000
29.8000 0.0000 40.0000
30.0000 0.0000 40.0000
30.2000 0.0000 40.0000
30.4000 0.0000 40.0000
30.6000 0.0000 40.0000
30.8000 0.0000 40.0000
31.0000 0.0000 40.0000
31.2000 0.0000 40.0000
31.4000 0.0000 40.0000
31.6000 0.0000 40.0000
31.8000 0.0000 40.0000
32.0000 0.0000 40.0000
32.2000 0.0000 40.0000
32.4000 0.0000 40.0000
32.6000 0.0000 40.0000
32.8000 0.0000 40.0000
33.0000 0.0000 40.0000
33.2000 0.0000 40.0000
33.4000 0.0000 40.0000
33.6000 0.0000 40.0000
33.8000 0.0000 40.0000
34.0000 0.0000 40.0000
34.2000 0.0000 40.0000
34.4000 0.0000 40.0000
34.6000 0.0000 40.0000
34.8000 0.0000 40.0000
35.0000 0.0000 40.0000
35.2000 0.0000 40.0000
35.4000 0.0000 40.0000
35.6000 0.0000 40.0000
35.8000 0.0000 40.0000
36.0000 0.0000 40.0000
36.2000 0.0000 40.0000
36.4000 0.0000 40.0000
36.6000 0.0000 40.0000
36.8000 0.0000 40.0000
37.0000 0.0000 40.0000
37.2000 0.0000 40.0000
37.4000 0.0000 40.0000
37.6000 0.0000 40.0000
37.8000 0.0000 40.0000
38.0000 0.0000 40.0000
38.2000 0.0000 40.0000
38.4000 0.0000 40.0000
38.6000 0.0000 40.0000
38.8000 0.0000 40.0000
39.0000 0.0000 40.0000
39.2000 0.0000 40.0000
39.4000 0.0000 40.0000
39.6000 0.0000 40.0000
39.8000 0.0000 40.0000
40.0000 0.0000 40.0000
